accuracy : 0.44430538172715894, precision : 0.43971146333296124, recall : 0.44430538172715894, F1-score : 0.4419514600312925
accuracy : 0.4455569461827284, precision : 0.43922082959506187, recall : 0.4455569461827284, F1-score : 0.4422563342406162
accuracy : 0.46808510638297873, precision : 0.47326414885285184, recall : 0.46808510638297873, F1-score : 0.47060039737909637
accuracy : 0.4130162703379224, precision : 0.4158486047116773, recall : 0.4130162703379224, F1-score : 0.41440515782186577
accuracy : 0.44680851063829785, precision : 0.45160040133714785, recall : 0.44680851063829785, F1-score : 0.4491158283193307
accuracy : 0.541927409261577, precision : 0.6403872017739032, recall : 0.541927409261577, F1-score : 0.5148053898156214
accuracy : 0.5018773466833542, precision : 0.669341177289943, recall : 0.5018773466833542, F1-score : 0.4772156152583448
accuracy : 0.5394242803504381, precision : 0.6728249355762718, recall : 0.5394242803504381, F1-score : 0.5211306851752735
accuracy : 0.5206508135168961, precision : 0.6475011715690868, recall : 0.5206508135168961, F1-score : 0.5017702267056171
accuracy : 0.5206508135168961, precision : 0.6689483097611582, recall : 0.5206508135168961, F1-score : 0.4991586033069406
accuracy : 0.37296620775969963, precision : 0.38197806314267735, recall : 0.37296620775969963, F1-score : 0.37701781165946285
accuracy : 0.3566958698372966, precision : 0.40889079540654877, recall : 0.3566958698372966, F1-score : 0.3753623382685026
accuracy : 0.35168961201501875, precision : 0.38326269181014083, recall : 0.35168961201501875, F1-score : 0.36464142416787965
accuracy : 0.37296620775969963, precision : 0.41676269463000964, recall : 0.37296620775969963, F1-score : 0.38778698263859773
accuracy : 0.3404255319148936, precision : 0.37509855225073296, recall : 0.3404255319148936, F1-score : 0.353464559399346
accuracy : 0.7396745932415519, precision : 0.7713952601179281, recall : 0.7396745932415519, F1-score : 0.7454218773830112
accuracy : 0.7396745932415519, precision : 0.7750740689117069, recall : 0.7396745932415519, F1-score : 0.7454546957464279
accuracy : 0.72090112640801, precision : 0.7374611351198093, recall : 0.72090112640801, F1-score : 0.7244507554759977
accuracy : 0.7071339173967459, precision : 0.7388896165325093, recall : 0.7071339173967459, F1-score : 0.7115453804164338
