accuracy : 0.2816020025031289, precision : 0.333421018199405, recall : 0.2816020025031289, F1-score : 0.2663169387265998
accuracy : 0.2828535669586984, precision : 0.31765485403467136, recall : 0.2828535669586984, F1-score : 0.26011094802076495
accuracy : 0.29161451814768463, precision : 0.3518928802029359, recall : 0.2916145181476846, F1-score : 0.276123819076446
accuracy : 0.3078848560700876, precision : 0.36026997566414687, recall : 0.3078848560700876, F1-score : 0.2963641132859885
accuracy : 0.3041301627033792, precision : 0.3438525307717284, recall : 0.3041301627033792, F1-score : 0.27687550316295145
accuracy : 0.493116395494368, precision : 0.42929844563617553, recall : 0.493116395494368, F1-score : 0.4553161553808744
accuracy : 0.4918648310387985, precision : 0.4384170748994688, recall : 0.4918648310387985, F1-score : 0.46027479715274106
accuracy : 0.44680851063829785, precision : 0.38683380964173136, recall : 0.44680851063829785, F1-score : 0.4116000307572258
accuracy : 0.4780976220275344, precision : 0.42729702352591614, recall : 0.4780976220275344, F1-score : 0.44849856855924425
accuracy : 0.5106382978723404, precision : 0.457311947555194, recall : 0.5106382978723404, F1-score : 0.47923849870174134
accuracy : 0.5056320400500626, precision : 0.48240801508845227, recall : 0.5056320400500626, F1-score : 0.49232226749900476
accuracy : 0.5106382978723404, precision : 0.4877923329101489, recall : 0.5106382978723404, F1-score : 0.4979397498489854
accuracy : 0.5068836045056321, precision : 0.49298147978905793, recall : 0.5068836045056321, F1-score : 0.49943028649131865
accuracy : 0.47309136420525655, precision : 0.4445388095726415, recall : 0.47309136420525655, F1-score : 0.45627827171353585
accuracy : 0.4856070087609512, precision : 0.4513227909217397, recall : 0.4856070087609512, F1-score : 0.46196702806968987
accuracy : 0.7346683354192741, precision : 0.7285018057007754, recall : 0.7346683354192741, F1-score : 0.7279857298179284
accuracy : 0.6795994993742178, precision : 0.6703582760269325, recall : 0.6795994993742178, F1-score : 0.6726605544238625
accuracy : 0.6770963704630788, precision : 0.6688776512848194, recall : 0.6770963704630788, F1-score : 0.6706797532307475
accuracy : 0.7096370463078848, precision : 0.7029695558002509, recall : 0.7096370463078848, F1-score : 0.7054025865665415
accuracy : 0.7083854818523154, precision : 0.7043141770064988, recall : 0.7083854818523154, F1-score : 0.6952813395520807
accuracy : 0.723404255319149, precision : 0.7177295470297265, recall : 0.723404255319149, F1-score : 0.6925709744516432
accuracy : 0.7008760951188986, precision : 0.7178385655856321, recall : 0.7008760951188986, F1-score : 0.6605962431069584
accuracy : 0.7158948685857321, precision : 0.7301776322004468, recall : 0.7158948685857321, F1-score : 0.6782112500731056
accuracy : 0.7246558197747184, precision : 0.7376008437160286, recall : 0.7246558197747184, F1-score : 0.6894829571065094
accuracy : 0.7509386733416771, precision : 0.7537104849094274, recall : 0.7509386733416771, F1-score : 0.7200664777098285
accuracy : 0.6608260325406758, precision : 0.6716516637551406, recall : 0.6608260325406758, F1-score : 0.5799385767016558
accuracy : 0.6733416770963705, precision : 0.688497926658883, recall : 0.6733416770963705, F1-score : 0.5920140480801787
accuracy : 0.655819774718398, precision : 0.701723221047931, recall : 0.655819774718398, F1-score : 0.5853042524167505
accuracy : 0.6896120150187734, precision : 0.7232847425329407, recall : 0.6896120150187734, F1-score : 0.6059963941624996
accuracy : 0.639549436795995, precision : 0.6658023308027458, recall : 0.639549436795995, F1-score : 0.5593292068132942
accuracy : 0.737171464330413, precision : 0.7279631348168106, recall : 0.737171464330413, F1-score : 0.7266390130839385
accuracy : 0.753441802252816, precision : 0.7469049627251455, recall : 0.753441802252816, F1-score : 0.7459561423326269
accuracy : 0.718397997496871, precision : 0.7113371916066461, recall : 0.718397997496871, F1-score : 0.7106853296093217
accuracy : 0.7396745932415519, precision : 0.7347828402524431, recall : 0.7396745932415519, F1-score : 0.7317363037383035
accuracy : 0.7709637046307884, precision : 0.7662440353419007, recall : 0.7709637046307884, F1-score : 0.7642556267531034
accuracy : 0.8147684605757196, precision : 0.8116343202703314, recall : 0.8147684605757196, F1-score : 0.8106799323035901
accuracy : 0.804755944931164, precision : 0.8004086993920473, recall : 0.804755944931164, F1-score : 0.7998236608343504
accuracy : 0.8060075093867334, precision : 0.8042795044651809, recall : 0.8060075093867334, F1-score : 0.8023641092194822
accuracy : 0.8010012515644556, precision : 0.7981063630486531, recall : 0.8010012515644556, F1-score : 0.7972493984837657
accuracy : 0.7947434292866082, precision : 0.7923281429278384, recall : 0.7947434292866082, F1-score : 0.7904038218499737
accuracy : 0.8961201501877347, precision : 0.9065922532340791, recall : 0.8961201501877347, F1-score : 0.8978991412927855
accuracy : 0.8923654568210263, precision : 0.8991331757289204, recall : 0.8923654568210263, F1-score : 0.8934819685880837
accuracy : 0.8798498122653317, precision : 0.8899275811465158, recall : 0.8798498122653317, F1-score : 0.8821113473061711
accuracy : 0.9023779724655819, precision : 0.9091312751521815, recall : 0.9023779724655819, F1-score : 0.9032425600573248
accuracy : 0.8961201501877347, precision : 0.901677810025128, recall : 0.8961201501877347, F1-score : 0.8973182462380749
accuracy : 0.7659574468085106, precision : 0.7582666327665797, recall : 0.7659574468085106, F1-score : 0.7559313462814998
accuracy : 0.7622027534418022, precision : 0.7567072362991302, recall : 0.7622027534418022, F1-score : 0.7510813258803031
accuracy : 0.7421777221526908, precision : 0.734427423455838, recall : 0.7421777221526908, F1-score : 0.7293916542609761
accuracy : 0.7947434292866082, precision : 0.7917476633025323, recall : 0.7947434292866082, F1-score : 0.7841086400050525
accuracy : 0.7684605757196495, precision : 0.7710450387914866, recall : 0.7684605757196495, F1-score : 0.7564977858658961
accuracy : 0.8485607008760951, precision : 0.8715587708078322, recall : 0.8485607008760951, F1-score : 0.8517692560955116
accuracy : 0.8748435544430538, precision : 0.8865671225522153, recall : 0.8748435544430538, F1-score : 0.8763931843045085
accuracy : 0.8485607008760951, precision : 0.8790297980471041, recall : 0.8485607008760951, F1-score : 0.8523378608179398
accuracy : 0.851063829787234, precision : 0.8725639618768926, recall : 0.851063829787234, F1-score : 0.8543003733058717
accuracy : 0.867334167709637, precision : 0.893415101936829, recall : 0.867334167709637, F1-score : 0.8703332715397903
