accuracy : 0.32665832290362956, precision : 0.23659022869011484, recall : 0.32665832290362956, F1-score : 0.2506237813360924
accuracy : 0.37797246558197745, precision : 0.2650239818534768, recall : 0.37797246558197745, F1-score : 0.2881606126705552
accuracy : 0.376720901126408, precision : 0.25762997976079244, recall : 0.376720901126408, F1-score : 0.2840862269613456
accuracy : 0.3579474342928661, precision : 0.24143329000250627, recall : 0.3579474342928661, F1-score : 0.27263057748046315
accuracy : 0.34918648310387984, precision : 0.22726935321118666, recall : 0.34918648310387984, F1-score : 0.2578482617594007
accuracy : 0.40550688360450565, precision : 0.41542190941157964, recall : 0.40550688360450565, F1-score : 0.36155237313010685
accuracy : 0.41551939924906134, precision : 0.44774136633814154, recall : 0.41551939924906134, F1-score : 0.3799816418553999
accuracy : 0.40550688360450565, precision : 0.46628182225267945, recall : 0.40550688360450565, F1-score : 0.3655962748091995
accuracy : 0.41802252816020025, precision : 0.468580625923041, recall : 0.41802252816020025, F1-score : 0.37979651857172453
accuracy : 0.4130162703379224, precision : 0.45188561907403935, recall : 0.4130162703379224, F1-score : 0.3808961506904398
accuracy : 0.5819774718397998, precision : 0.6209527525691061, recall : 0.5819774718397998, F1-score : 0.5579811744828762
accuracy : 0.5969962453066333, precision : 0.6222413587383626, recall : 0.5969962453066333, F1-score : 0.5754887218751973
accuracy : 0.60450563204005, precision : 0.6438762188243591, recall : 0.60450563204005, F1-score : 0.5886090600756029
accuracy : 0.5869837296620776, precision : 0.6285925614135821, recall : 0.5869837296620776, F1-score : 0.5647589418206779
accuracy : 0.6007509386733417, precision : 0.6515126378072368, recall : 0.6007509386733417, F1-score : 0.5790086486788776
accuracy : 0.49436795994993743, precision : 0.5593506224867073, recall : 0.49436795994993743, F1-score : 0.46861005182216997
accuracy : 0.5131414267834794, precision : 0.5373668414931235, recall : 0.5131414267834794, F1-score : 0.4957238695775535
accuracy : 0.493116395494368, precision : 0.5063995511542079, recall : 0.493116395494368, F1-score : 0.4675684561873961
accuracy : 0.5256570713391739, precision : 0.5490359635756564, recall : 0.5256570713391739, F1-score : 0.5020787853216957
accuracy : 0.5444305381727159, precision : 0.5561550137301695, recall : 0.5444305381727159, F1-score : 0.5211873320327576
accuracy : 0.5807259073842302, precision : 0.6014916402550371, recall : 0.5807259073842302, F1-score : 0.561521334467661
accuracy : 0.5769712140175219, precision : 0.5897322869971748, recall : 0.5769712140175219, F1-score : 0.5690176609108845
accuracy : 0.5456821026282853, precision : 0.5471747657759711, recall : 0.5456821026282853, F1-score : 0.5255967815563244
accuracy : 0.5932415519399249, precision : 0.6053631631540027, recall : 0.5932415519399249, F1-score : 0.5765247052426772
accuracy : 0.5757196495619524, precision : 0.5758151751616739, recall : 0.5757196495619524, F1-score : 0.558824377615493
accuracy : 0.5569461827284106, precision : 0.5828765068182583, recall : 0.5569461827284106, F1-score : 0.5544722166466112
accuracy : 0.5444305381727159, precision : 0.5660352494863087, recall : 0.5444305381727159, F1-score : 0.5434068476617027
accuracy : 0.5556946182728411, precision : 0.5860436966357235, recall : 0.5556946182728411, F1-score : 0.5569152078431436
accuracy : 0.5269086357947435, precision : 0.5700769399063796, recall : 0.5269086357947435, F1-score : 0.5296558597226328
accuracy : 0.5519399249061326, precision : 0.5878914682687186, recall : 0.5519399249061326, F1-score : 0.5493419214405921
accuracy : 0.5769712140175219, precision : 0.6234588680644857, recall : 0.5769712140175219, F1-score : 0.5507211186424149
accuracy : 0.5569461827284106, precision : 0.6266786385212545, recall : 0.5569461827284106, F1-score : 0.5371126779945561
accuracy : 0.5957446808510638, precision : 0.6212080927479497, recall : 0.5957446808510638, F1-score : 0.5664332504344587
accuracy : 0.5832290362953693, precision : 0.6279400575900719, recall : 0.5832290362953693, F1-score : 0.5590448830734336
accuracy : 0.571964956195244, precision : 0.6266302768004723, recall : 0.571964956195244, F1-score : 0.5408036925912313
accuracy : 0.7521902377972466, precision : 0.779024120183047, recall : 0.7521902377972466, F1-score : 0.7518971251596019
accuracy : 0.7146433041301627, precision : 0.7404535220937432, recall : 0.7146433041301627, F1-score : 0.7148062762941632
accuracy : 0.7346683354192741, precision : 0.7503697975816086, recall : 0.7346683354192741, F1-score : 0.7318104401309903
accuracy : 0.7259073842302879, precision : 0.7483454263315121, recall : 0.7259073842302879, F1-score : 0.7250265777311187
accuracy : 0.7259073842302879, precision : 0.7532862150077798, recall : 0.7259073842302879, F1-score : 0.7261198103993043
accuracy : 0.6670838548185232, precision : 0.69652520795729, recall : 0.6670838548185232, F1-score : 0.6579669450222254
accuracy : 0.6795994993742178, precision : 0.7031453950643983, recall : 0.6795994993742178, F1-score : 0.6718934600833123
accuracy : 0.6658322903629537, precision : 0.6819281879590215, recall : 0.6658322903629537, F1-score : 0.6566101230276105
accuracy : 0.6833541927409261, precision : 0.6924228259924526, recall : 0.6833541927409261, F1-score : 0.6739828351490783
accuracy : 0.6483103879849812, precision : 0.6803446175059461, recall : 0.6483103879849812, F1-score : 0.6448398108421138
accuracy : 0.6783479349186483, precision : 0.6854287811466883, recall : 0.6783479349186483, F1-score : 0.6691832794876289
accuracy : 0.7008760951188986, precision : 0.7210298572684042, recall : 0.7008760951188986, F1-score : 0.6916916673167691
accuracy : 0.6795994993742178, precision : 0.6893081345539583, recall : 0.6795994993742178, F1-score : 0.6694855944600956
accuracy : 0.6846057571964956, precision : 0.701781927632575, recall : 0.6846057571964956, F1-score : 0.6744725377862647
accuracy : 0.7021276595744681, precision : 0.7058245717905979, recall : 0.7021276595744681, F1-score : 0.6913081567436553
