accuracy : 0.36545682102628285, precision : 0.26623497092509874, recall : 0.36545682102628285, F1-score : 0.24088873886998052
accuracy : 0.3566958698372966, precision : 0.18962665368572695, recall : 0.3566958698372966, F1-score : 0.23088246174473978
accuracy : 0.344180225281602, precision : 0.19255777147769715, recall : 0.344180225281602, F1-score : 0.22473019111604126
accuracy : 0.3667083854818523, precision : 0.18045816005031481, recall : 0.3667083854818523, F1-score : 0.24003324470206505
accuracy : 0.3316645807259074, precision : 0.16981329888845126, recall : 0.3316645807259074, F1-score : 0.20865328778579076
accuracy : 0.3954943679599499, precision : 0.42049100147408724, recall : 0.3954943679599499, F1-score : 0.32403399571601355
accuracy : 0.3954943679599499, precision : 0.39140494075590654, recall : 0.3954943679599499, F1-score : 0.3244600433845873
accuracy : 0.40175219023779724, precision : 0.3840093064957576, recall : 0.40175219023779724, F1-score : 0.32805513930823416
accuracy : 0.3954943679599499, precision : 0.3779872051697872, recall : 0.3954943679599499, F1-score : 0.31830341010437396
accuracy : 0.4030037546933667, precision : 0.4100380834423633, recall : 0.4030037546933667, F1-score : 0.331960684843078
accuracy : 0.3379224030037547, precision : 0.4584624561894909, recall : 0.3379224030037547, F1-score : 0.3065019126077553
accuracy : 0.35544430538172717, precision : 0.4847942396730572, recall : 0.35544430538172717, F1-score : 0.3265975740196155
accuracy : 0.3642052565707134, precision : 0.4762265192171244, recall : 0.3642052565707134, F1-score : 0.33979271780820464
accuracy : 0.3667083854818523, precision : 0.4946546751322883, recall : 0.3667083854818523, F1-score : 0.3354812481507308
accuracy : 0.376720901126408, precision : 0.5263380973780776, recall : 0.376720901126408, F1-score : 0.3443300578739782
accuracy : 0.4668335419274093, precision : 0.5330850582463592, recall : 0.4668335419274093, F1-score : 0.4640991333387828
accuracy : 0.5269086357947435, precision : 0.601984186978563, recall : 0.5269086357947435, F1-score : 0.5237578518500674
accuracy : 0.48685857321652065, precision : 0.5677728769949515, recall : 0.48685857321652065, F1-score : 0.4891831648964719
accuracy : 0.4918648310387985, precision : 0.5570958451919251, recall : 0.4918648310387985, F1-score : 0.4792514120665518
accuracy : 0.47058823529411764, precision : 0.5421562408285192, recall : 0.47058823529411764, F1-score : 0.4656801447219429
accuracy : 0.5869837296620776, precision : 0.6724974065020211, recall : 0.5869837296620776, F1-score : 0.5565494120313812
accuracy : 0.6057571964956195, precision : 0.6794827751293968, recall : 0.6057571964956195, F1-score : 0.5803955540654402
accuracy : 0.5944931163954944, precision : 0.6930491386445878, recall : 0.5944931163954944, F1-score : 0.5648663810893306
accuracy : 0.5919899874843555, precision : 0.6785937920754735, recall : 0.5919899874843555, F1-score : 0.5608327615686721
accuracy : 0.574468085106383, precision : 0.6853229639965036, recall : 0.574468085106383, F1-score : 0.5374165392428528
accuracy : 0.5056320400500626, precision : 0.7153811690124485, recall : 0.5056320400500626, F1-score : 0.462365954541052
accuracy : 0.5344180225281602, precision : 0.7116194784400827, recall : 0.5344180225281602, F1-score : 0.49280343244031194
accuracy : 0.5306633291614519, precision : 0.7600258108535014, recall : 0.5306633291614519, F1-score : 0.4768148698731284
accuracy : 0.5281602002503129, precision : 0.7241081018542102, recall : 0.5281602002503129, F1-score : 0.47235748338567646
accuracy : 0.5331664580725908, precision : 0.7271336526589529, recall : 0.5331664580725908, F1-score : 0.47971532193907757
accuracy : 0.5794743429286608, precision : 0.6134468787780744, recall : 0.5794743429286608, F1-score : 0.5563975814552252
accuracy : 0.5143929912390488, precision : 0.5492884564588849, recall : 0.5143929912390488, F1-score : 0.49044720935765806
accuracy : 0.5306633291614519, precision : 0.5622501300923339, recall : 0.5306633291614519, F1-score : 0.5080023041247075
accuracy : 0.5456821026282853, precision : 0.5947056178347632, recall : 0.5456821026282853, F1-score : 0.5329427530033348
accuracy : 0.5519399249061326, precision : 0.5651016875587759, recall : 0.5519399249061326, F1-score : 0.5290114194290334
accuracy : 0.4856070087609512, precision : 0.7088246474065899, recall : 0.4856070087609512, F1-score : 0.4338846525051091
accuracy : 0.4693366708385482, precision : 0.7068724872900092, recall : 0.4693366708385482, F1-score : 0.4157605852639791
accuracy : 0.490613266583229, precision : 0.7030521095934601, recall : 0.490613266583229, F1-score : 0.4387186761132206
accuracy : 0.4655819774718398, precision : 0.6785852975606317, recall : 0.4655819774718398, F1-score : 0.3982788403109021
accuracy : 0.4856070087609512, precision : 0.7216846005668358, recall : 0.4856070087609512, F1-score : 0.4445524553457547
accuracy : 0.6245306633291614, precision : 0.7324440260669816, recall : 0.6245306633291614, F1-score : 0.6198321678902953
accuracy : 0.5919899874843555, precision : 0.7151283609696674, recall : 0.5919899874843555, F1-score : 0.5885075415138293
accuracy : 0.6307884856070087, precision : 0.7382273980515285, recall : 0.6307884856070087, F1-score : 0.6329948260694134
accuracy : 0.6082603254067585, precision : 0.7189592337984602, recall : 0.6082603254067585, F1-score : 0.6147445072301667
accuracy : 0.6007509386733417, precision : 0.6786446668143878, recall : 0.6007509386733417, F1-score : 0.6048074983364354
accuracy : 0.5694618272841051, precision : 0.6679909172034085, recall : 0.5694618272841051, F1-score : 0.5522318013147814
accuracy : 0.6082603254067585, precision : 0.7331839895322967, recall : 0.6082603254067585, F1-score : 0.6018386685815553
accuracy : 0.6107634543178974, precision : 0.7845740395674389, recall : 0.6107634543178974, F1-score : 0.6162819898425249
accuracy : 0.5994993742177722, precision : 0.7743624580825124, recall : 0.5994993742177722, F1-score : 0.6014484658271514
accuracy : 0.6120150187734669, precision : 0.7712520397792972, recall : 0.6120150187734669, F1-score : 0.6069457779356172
