accuracy : 0.344180225281602, precision : 0.1566791933188253, recall : 0.344180225281602, F1-score : 0.18837275777910328
accuracy : 0.35544430538172717, precision : 0.19989589483569312, recall : 0.35544430538172717, F1-score : 0.19840618716542519
accuracy : 0.3191489361702128, precision : 0.11289044816659123, recall : 0.3191489361702128, F1-score : 0.16678510220290096
accuracy : 0.36795994993742176, precision : 0.14745428049952405, recall : 0.36795994993742176, F1-score : 0.20853621220682306
accuracy : 0.36795994993742176, precision : 0.14240527932643077, recall : 0.36795994993742176, F1-score : 0.20534094584522788
accuracy : 0.28911138923654567, precision : 0.22357070110658145, recall : 0.28911138923654567, F1-score : 0.24380320234371233
accuracy : 0.3016270337922403, precision : 0.25515237930346185, recall : 0.3016270337922403, F1-score : 0.24896839922445954
accuracy : 0.30663329161451813, precision : 0.23524455637018457, recall : 0.30663329161451813, F1-score : 0.25878131806639504
accuracy : 0.34167709637046306, precision : 0.3018310299544062, recall : 0.34167709637046306, F1-score : 0.29851033935195237
accuracy : 0.32040050062578224, precision : 0.23167959534216173, recall : 0.32040050062578224, F1-score : 0.2644229298906529
accuracy : 0.4142678347934919, precision : 0.5067207105807677, recall : 0.4142678347934919, F1-score : 0.3759362819238984
accuracy : 0.42428035043804757, precision : 0.48919122742153176, recall : 0.42428035043804757, F1-score : 0.3753432741539304
accuracy : 0.3904881101376721, precision : 0.4464682004682452, recall : 0.3904881101376721, F1-score : 0.34260053491692444
accuracy : 0.42428035043804757, precision : 0.4986678094275982, recall : 0.42428035043804757, F1-score : 0.37087274544881793
accuracy : 0.3854818523153942, precision : 0.4874555001416604, recall : 0.3854818523153942, F1-score : 0.3419474368431855
accuracy : 0.5381727158948686, precision : 0.6225125537323782, recall : 0.5381727158948686, F1-score : 0.5416358816168555
accuracy : 0.5481852315394243, precision : 0.6492772416230465, recall : 0.5481852315394243, F1-score : 0.5498727902394703
accuracy : 0.5544430538172715, precision : 0.5921415721901997, recall : 0.5544430538172715, F1-score : 0.5467355148930759
accuracy : 0.5381727158948686, precision : 0.6118863073351044, recall : 0.5381727158948686, F1-score : 0.5298079492786507
accuracy : 0.571964956195244, precision : 0.6553847123796387, recall : 0.571964956195244, F1-score : 0.5668756830666152
accuracy : 0.6658322903629537, precision : 0.6652223664618411, recall : 0.6658322903629537, F1-score : 0.6501532277218773
accuracy : 0.6408010012515645, precision : 0.6746674210530628, recall : 0.6408010012515645, F1-score : 0.6235913336428556
accuracy : 0.6958698372966208, precision : 0.7037939475189643, recall : 0.6958698372966208, F1-score : 0.6814593288409666
accuracy : 0.685857321652065, precision : 0.7225548447521436, recall : 0.685857321652065, F1-score : 0.6636579067630966
accuracy : 0.6608260325406758, precision : 0.6598639636619198, recall : 0.6608260325406758, F1-score : 0.6478700611401259
accuracy : 0.5657071339173968, precision : 0.6267865206988563, recall : 0.5657071339173968, F1-score : 0.544736568390753
accuracy : 0.5757196495619524, precision : 0.6012928817738079, recall : 0.5757196495619524, F1-score : 0.5497216091220885
accuracy : 0.5456821026282853, precision : 0.6052326722261857, recall : 0.5456821026282853, F1-score : 0.5309468269928853
accuracy : 0.5481852315394243, precision : 0.6149492191288689, recall : 0.5481852315394243, F1-score : 0.5300156427690066
accuracy : 0.55819774718398, precision : 0.5947170834009369, recall : 0.55819774718398, F1-score : 0.5297601422907214
accuracy : 0.5494367959949937, precision : 0.6041741883800584, recall : 0.5494367959949937, F1-score : 0.5308693558093796
accuracy : 0.5481852315394243, precision : 0.5950644306324212, recall : 0.5481852315394243, F1-score : 0.5318220243777398
accuracy : 0.5431789737171464, precision : 0.6101049312035094, recall : 0.5431789737171464, F1-score : 0.5325620916937741
accuracy : 0.5294117647058824, precision : 0.5641659332996891, recall : 0.5294117647058824, F1-score : 0.5074248642557386
accuracy : 0.5556946182728411, precision : 0.6160880852096716, recall : 0.5556946182728411, F1-score : 0.5441513465982124
accuracy : 0.6270337922403004, precision : 0.6888853483209586, recall : 0.6270337922403004, F1-score : 0.6146071239531402
accuracy : 0.6195244055068836, precision : 0.658786939941239, recall : 0.6195244055068836, F1-score : 0.601815917840498
accuracy : 0.6207759699624531, precision : 0.6608669982049413, recall : 0.6207759699624531, F1-score : 0.5960894127103413
accuracy : 0.6282853566958698, precision : 0.675128399479857, recall : 0.6282853566958698, F1-score : 0.6142787802455735
accuracy : 0.6370463078848561, precision : 0.6904407260070111, recall : 0.6370463078848561, F1-score : 0.624592367316827
accuracy : 0.6733416770963705, precision : 0.719622128706952, recall : 0.6733416770963705, F1-score : 0.6705805230523916
accuracy : 0.6545682102628285, precision : 0.6978244746058804, recall : 0.6545682102628285, F1-score : 0.6485347448247283
accuracy : 0.6708385481852316, precision : 0.7022250464141264, recall : 0.6708385481852316, F1-score : 0.6683190531181673
accuracy : 0.6332916145181476, precision : 0.6687566926833056, recall : 0.6332916145181476, F1-score : 0.6280237710294406
accuracy : 0.6495619524405507, precision : 0.6803394310052612, recall : 0.6495619524405507, F1-score : 0.6456915009734943
accuracy : 0.6808510638297872, precision : 0.8058483602169351, recall : 0.6808510638297872, F1-score : 0.6721123858228175
accuracy : 0.6933667083854819, precision : 0.7686450933650163, recall : 0.6933667083854819, F1-score : 0.6715070807331434
accuracy : 0.6958698372966208, precision : 0.7463530280292454, recall : 0.6958698372966208, F1-score : 0.6794655603341995
accuracy : 0.7021276595744681, precision : 0.769534585210219, recall : 0.7021276595744681, F1-score : 0.6829850013939023
accuracy : 0.6871088861076345, precision : 0.7508685219802729, recall : 0.6871088861076345, F1-score : 0.6675239411756709
