accuracy : 0.27284105131414266, precision : 0.18837314569655, recall : 0.27284105131414266, F1-score : 0.1951348281760755
accuracy : 0.28410513141426785, precision : 0.1857236879917903, recall : 0.28410513141426785, F1-score : 0.21079574828446965
accuracy : 0.28660826032540676, precision : 0.18401947362302076, recall : 0.28660826032540676, F1-score : 0.21063259629919961
accuracy : 0.27909887359199, precision : 0.16932148553608495, recall : 0.27909887359199004, F1-score : 0.203584587039149
accuracy : 0.2828535669586984, precision : 0.1676756371849442, recall : 0.2828535669586984, F1-score : 0.20344007529407523
accuracy : 0.4142678347934919, precision : 0.40885480415934244, recall : 0.4142678347934919, F1-score : 0.3889571071603102
accuracy : 0.4267834793491865, precision : 0.400127141624351, recall : 0.4267834793491865, F1-score : 0.39156315424524746
accuracy : 0.4230287859824781, precision : 0.37727662690692826, recall : 0.4230287859824781, F1-score : 0.38759531501752015
accuracy : 0.39424280350438046, precision : 0.38689220874359004, recall : 0.39424280350438046, F1-score : 0.3699541954688572
accuracy : 0.4593241551939925, precision : 0.4494888559753966, recall : 0.4593241551939925, F1-score : 0.43097981337922325
accuracy : 0.5081351689612015, precision : 0.46534702231297204, recall : 0.5081351689612015, F1-score : 0.4568705397288945
accuracy : 0.5031289111389237, precision : 0.47194531388690325, recall : 0.5031289111389237, F1-score : 0.44313612859677837
accuracy : 0.490613266583229, precision : 0.4657334514451686, recall : 0.490613266583229, F1-score : 0.43756317040791676
accuracy : 0.5181476846057572, precision : 0.5459202073218146, recall : 0.5181476846057572, F1-score : 0.4656840939398479
accuracy : 0.49687108886107634, precision : 0.46217530411307706, recall : 0.49687108886107634, F1-score : 0.44739005947579424
accuracy : 0.574468085106383, precision : 0.6450552466342809, recall : 0.574468085106383, F1-score : 0.5231277831916437
accuracy : 0.571964956195244, precision : 0.6389292797655793, recall : 0.571964956195244, F1-score : 0.5330630224460071
accuracy : 0.5869837296620776, precision : 0.6171798196997546, recall : 0.5869837296620776, F1-score : 0.5481926919374831
accuracy : 0.5757196495619524, precision : 0.6318839820245569, recall : 0.5757196495619524, F1-score : 0.5430511811461943
accuracy : 0.5694618272841051, precision : 0.6312740608711366, recall : 0.5694618272841051, F1-score : 0.5371765918611121
accuracy : 0.685857321652065, precision : 0.7114084591271173, recall : 0.685857321652065, F1-score : 0.6869885562872821
accuracy : 0.7196495619524406, precision : 0.7285565622027635, recall : 0.7196495619524406, F1-score : 0.7111395723955087
accuracy : 0.7259073842302879, precision : 0.7345332503720512, recall : 0.7259073842302879, F1-score : 0.724322009936381
accuracy : 0.7434292866082604, precision : 0.7513903147895583, recall : 0.7434292866082604, F1-score : 0.7395607079072262
accuracy : 0.685857321652065, precision : 0.7040199402230498, recall : 0.685857321652065, F1-score : 0.6851643769948154
accuracy : 0.6345431789737171, precision : 0.6902134029083483, recall : 0.6345431789737171, F1-score : 0.6117968661455928
accuracy : 0.639549436795995, precision : 0.7036688057224785, recall : 0.639549436795995, F1-score : 0.6218971774738008
accuracy : 0.6533166458072591, precision : 0.6772830438561409, recall : 0.6533166458072591, F1-score : 0.6337676039308651
accuracy : 0.6120150187734669, precision : 0.6689601670466276, recall : 0.6120150187734669, F1-score : 0.5859991181329472
accuracy : 0.6520650813516896, precision : 0.658318991878755, recall : 0.6520650813516896, F1-score : 0.6309622908971332
accuracy : 0.6020025031289111, precision : 0.6768565353170977, recall : 0.6020025031289111, F1-score : 0.5526449639438898
accuracy : 0.6220275344180225, precision : 0.6635106484326356, recall : 0.6220275344180225, F1-score : 0.5809732575375486
accuracy : 0.6483103879849812, precision : 0.6948988665897252, recall : 0.6483103879849812, F1-score : 0.614793185776224
accuracy : 0.6295369211514393, precision : 0.6805778689937346, recall : 0.6295369211514393, F1-score : 0.5950862236926373
accuracy : 0.60450563204005, precision : 0.6311111808071059, recall : 0.60450563204005, F1-score : 0.5592240391384615
accuracy : 0.7096370463078848, precision : 0.7167248792648359, recall : 0.7096370463078848, F1-score : 0.6913709660046718
accuracy : 0.7384230287859824, precision : 0.7518411938566927, recall : 0.7384230287859824, F1-score : 0.7269897955302668
accuracy : 0.7546933667083855, precision : 0.7555212585866287, recall : 0.7546933667083855, F1-score : 0.7375764961824961
accuracy : 0.7647058823529411, precision : 0.7642971250739498, recall : 0.7647058823529411, F1-score : 0.7490469874940638
accuracy : 0.753441802252816, precision : 0.7674360647136651, recall : 0.753441802252816, F1-score : 0.7405587936529949
accuracy : 0.7021276595744681, precision : 0.760631276679669, recall : 0.7021276595744681, F1-score : 0.6866022505567221
accuracy : 0.7446808510638298, precision : 0.7946071637321132, recall : 0.7446808510638298, F1-score : 0.7303804746826909
accuracy : 0.7359198998748435, precision : 0.7676196025206227, recall : 0.7359198998748435, F1-score : 0.7170429357807384
accuracy : 0.7384230287859824, precision : 0.79255721945018, recall : 0.7384230287859824, F1-score : 0.7222265087508152
accuracy : 0.7158948685857321, precision : 0.7476867061126334, recall : 0.7158948685857321, F1-score : 0.6911597241943177
accuracy : 0.7709637046307884, precision : 0.7894481475417907, recall : 0.7709637046307884, F1-score : 0.7509886627889552
accuracy : 0.7446808510638298, precision : 0.7643298900516259, recall : 0.7446808510638298, F1-score : 0.7165428944782104
accuracy : 0.7546933667083855, precision : 0.759813873165346, recall : 0.7546933667083855, F1-score : 0.7251737567604394
accuracy : 0.7684605757196495, precision : 0.7791168649034115, recall : 0.7684605757196495, F1-score : 0.7409585285056749
accuracy : 0.7684605757196495, precision : 0.7764069452463573, recall : 0.7684605757196495, F1-score : 0.7472520985956348
